Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
2003,27-Sep,vs.,Wisconsin,L,20,38,,,,2
2003,4-Oct,@,Purdue,L,10,43,,,,2
2003,11-Oct,vs.,Michigan State,L,14,49,,,,0
2003,18-Oct,@,Michigan,L,14,56,,,,0
2003,25-Oct,vs.,Minnesota,L,10,36,,,,0
2003,1-Nov,@,Iowa,L,10,41,,,,0
2003,8-Nov,@,Indiana,L,14,17,,,,3
2003,22-Nov,vs.,Northwestern,L,20,37,,,,2
2002,31-Aug,vs.,Missouri,L,20,33,@ St. Louis, MO,,0
2002,7-Sep,@,Southern Mississippi,L,20,23,,,,0
2002,14-Sep,vs.,Arkansas State,W,59,7,,,,0
2002,21-Sep,vs.,San Jose State,L,35,38,,,,0
2002,28-Sep,vs.,Michigan,L,28,45,,,,0
2002,3-Oct,@,Minnesota,L,10,31,,,,1
2002,12-Oct,vs.,Purdue,W,38,31,,,,1
2002,26-Oct,vs.,Indiana,W,45,14,,,,2
2002,2-Nov,@,Penn State,L,7,18,,,,1
2002,9-Nov,@,Wisconsin,W,37,20,,,,1
2002,16-Nov,vs.,Ohio State,L,16,23,,,,1
2002,23-Nov,@,Northwestern,W,31,24,,,,1
2001,1-Jan,vs.,Louisiana State,L,34,47,@ New Orleans, LA,Sugar Bowl,0
2001,1-Sep,@,California,W,44,17,,,,1
2001,8-Sep,vs.,Northern Illinois,W,17,12,,,,0
2001,22-Sep,vs.,Louisville,W,34,10,,,,0
2001,29-Sep,@,Michigan,L,20,45,,,,0
2001,6-Oct,vs.,Minnesota,W,25,14,,,,0
2001,13-Oct,@,Indiana,W,35,14,,,,1
2001,20-Oct,vs.,Wisconsin,W,42,35,,,,0
2001,3-Nov,@,Purdue,W,38,13,,,,0
2001,10-Nov,vs.,Penn State,W,33,28,,,,0
2001,17-Nov,@,Ohio State,W,34,22,,,,0
2001,22-Nov,vs.,Northwestern,W,34,28,,,,0
2000,2-Sep,vs.,Middle Tennessee State,W,35,6,,,,0
2000,9-Sep,@,San Diego State,W,49,13,,,,1
2000,16-Sep,vs.,California,W,17,15,,,,0
2000,23-Sep,vs.,Michigan,L,31,35,,,,1
2000,30-Sep,@,Minnesota,L,10,44,,,,0
2000,14-Oct,vs.,Iowa,W,31,0,,,,1
2000,21-Oct,@,Penn State,L,25,39,,,,0
2000,28-Oct,@,Michigan State,L,10,14,,,,0
2000,4-Nov,vs.,Indiana,W,42,35,,,,0
2000,11-Nov,vs.,Ohio State,L,21,24,,,,1
2000,18-Nov,@,Northwestern,L,23,61,,,,2
1999,4-Sep,vs.,Arkansas State,W,41,3,,,,0
1999,11-Sep,vs.,San Diego State,W,38,10,,,,0
1999,18-Sep,@,Louisville,W,41,36,,,,0
1999,25-Sep,vs.,Michigan State,L,10,27,,,,0
1999,2-Oct,@,Indiana,L,31,34,,,,1
1999,16-Oct,vs.,Minnesota,L,7,37,,,,0
1999,23-Oct,@,Michigan,W,35,29,,,,0
1999,30-Oct,vs.,Penn State,L,7,27,,,,0
1999,6-Nov,@,Iowa,W,40,24,,,,0
1999,13-Nov,@,Ohio State,W,46,20,,,,0
